,Source,Sink,Time,Value
1347,SCE,SCE,52,
1348,SCE,SCE,53,
1349,SCE,SCE,54,
1350,SCE,SCE,55,
1351,SCE,SCE,56,
1352,SCE,SCE,57,
1353,SCE,SCE,58,
1354,SCE,SCE,59,
1355,SCE,SCE,60,
1356,SCE,SCE,61,
1357,SCE,SCE,62,
1358,SCE,SCE,63,
1359,SCE,SCE,64,
1360,SCE,SCE,65,
1361,SCE,SCE,66,
1362,SCE,SCE,67,
1363,SCE,SCE,68,
1364,SCE,SCE,69,
1365,SCE,SCE,70,
1366,SCE,SCE,71,
1367,SCE,SCE,72,
1368,SCE,PNW,49,
1369,SCE,PNW,50,
1370,SCE,PNW,51,
1371,SCE,PNW,52,
1372,SCE,PNW,53,
1373,SCE,PNW,54,
1374,SCE,PNW,55,
1375,SCE,PNW,56,
1376,SCE,PNW,57,
1377,SCE,PNW,58,
1378,SCE,PNW,59,
1379,SCE,PNW,60,
1380,SCE,PNW,61,
1381,SCE,PNW,62,
1382,SCE,PNW,63,
1383,SCE,PNW,64,
1384,SCE,PNW,65,
1385,SCE,PNW,66,
1386,SCE,PNW,67,
1387,SCE,PNW,68,
1388,SCE,PNW,69,
1389,SCE,PNW,70,
1390,SCE,PNW,71,
1391,SCE,PNW,72,
1392,SCE,SDGE,49,
1393,SCE,SDGE,50,
1394,SCE,SDGE,51,
1395,SCE,SDGE,52,
1396,SCE,SDGE,53,
1397,SCE,SDGE,54,
1398,SCE,SDGE,55,
1399,SCE,SDGE,56,
1400,SCE,SDGE,57,
1401,SCE,SDGE,58,
1402,SCE,SDGE,59,
1403,SCE,SDGE,60,
1404,SCE,SDGE,61,
1405,SCE,SDGE,62,
1406,SCE,SDGE,63,
1407,SCE,SDGE,64,
1408,SCE,SDGE,65,
1409,SCE,SDGE,66,
1410,SCE,SDGE,67,
1411,SCE,SDGE,68,
1412,SCE,SDGE,69,
1413,SCE,SDGE,70,
1414,SCE,SDGE,71,
1415,SCE,SDGE,72,
1416,SCE,PGE_bay,49,
1417,SCE,PGE_bay,50,
1418,SCE,PGE_bay,51,
1419,SCE,PGE_bay,52,
1420,SCE,PGE_bay,53,
1421,SCE,PGE_bay,54,
1422,SCE,PGE_bay,55,
1423,SCE,PGE_bay,56,
1424,SCE,PGE_bay,57,
1425,SCE,PGE_bay,58,
1426,SCE,PGE_bay,59,
1427,SCE,PGE_bay,60,
1428,SCE,PGE_bay,61,
1429,SCE,PGE_bay,62,
1430,SCE,PGE_bay,63,
1431,SCE,PGE_bay,64,
1432,SCE,PGE_bay,65,
1433,SCE,PGE_bay,66,
1434,SCE,PGE_bay,67,
1435,SCE,PGE_bay,68,
1436,SCE,PGE_bay,69,
1437,SCE,PGE_bay,70,
1438,SCE,PGE_bay,71,
1439,SCE,PGE_bay,72,
1440,PNW,PGE_valley,49,
1441,PNW,PGE_valley,50,
1442,PNW,PGE_valley,51,
1443,PNW,PGE_valley,52,
1444,PNW,PGE_valley,53,
1445,PNW,PGE_valley,54,
1446,PNW,PGE_valley,55,
1447,PNW,PGE_valley,56,
1448,PNW,PGE_valley,57,
1449,PNW,PGE_valley,58,
1450,PNW,PGE_valley,59,
1451,PNW,PGE_valley,60,
1452,PNW,PGE_valley,61,
1453,PNW,PGE_valley,62,
1454,PNW,PGE_valley,63,
