,Generator,Time,Value,Zones
248,HERMISTON_3,9,106.1,PNW
249,HERMISTON_3,10,106.1,PNW
250,HERMISTON_3,11,106.1,PNW
251,HERMISTON_3,12,106.1,PNW
252,HERMISTON_3,13,106.1,PNW
253,HERMISTON_3,14,106.1,PNW
254,HERMISTON_3,15,106.1,PNW
255,HERMISTON_3,16,106.1,PNW
256,HERMISTON_3,17,106.1,PNW
257,HERMISTON_3,18,106.1,PNW
258,HERMISTON_3,19,106.1,PNW
259,HERMISTON_3,20,106.1,PNW
260,HERMISTON_3,21,106.1,PNW
261,HERMISTON_3,22,106.1,PNW
262,HERMISTON_3,23,106.1,PNW
263,HERMISTON_3,24,106.1,PNW
264,HERMISTON_2,1,204.5,PNW
265,HERMISTON_2,2,204.5,PNW
266,HERMISTON_2,3,204.5,PNW
267,HERMISTON_2,4,204.5,PNW
268,HERMISTON_2,5,204.5,PNW
269,HERMISTON_2,6,204.5,PNW
270,HERMISTON_2,7,204.5,PNW
271,HERMISTON_2,8,204.5,PNW
272,HERMISTON_2,9,204.5,PNW
273,HERMISTON_2,10,204.5,PNW
274,HERMISTON_2,11,204.5,PNW
275,HERMISTON_2,12,204.5,PNW
276,HERMISTON_2,13,204.5,PNW
277,HERMISTON_2,14,204.5,PNW
278,HERMISTON_2,15,204.5,PNW
279,HERMISTON_2,16,204.5,PNW
280,HERMISTON_2,17,204.5,PNW
281,HERMISTON_2,18,204.5,PNW
282,HERMISTON_2,19,204.5,PNW
283,HERMISTON_2,20,204.5,PNW
284,HERMISTON_2,21,204.5,PNW
285,HERMISTON_2,22,204.5,PNW
286,HERMISTON_2,23,204.5,PNW
287,HERMISTON_2,24,204.5,PNW
288,HERMISTON_1,1,106.1,PNW
289,HERMISTON_1,2,106.1,PNW
290,HERMISTON_1,3,106.1,PNW
291,HERMISTON_1,4,106.1,PNW
292,HERMISTON_1,5,106.1,PNW
293,HERMISTON_1,6,106.1,PNW
294,HERMISTON_1,7,106.1,PNW
295,HERMISTON_1,8,106.1,PNW
296,HERMISTON_1,9,106.1,PNW
297,HERMISTON_1,10,106.1,PNW
298,HERMISTON_1,11,106.1,PNW
299,HERMISTON_1,12,106.1,PNW
300,HERMISTON_1,13,106.1,PNW
301,HERMISTON_1,14,106.1,PNW
302,HERMISTON_1,15,106.1,PNW
303,HERMISTON_1,16,106.1,PNW
304,HERMISTON_1,17,106.1,PNW
305,HERMISTON_1,18,106.1,PNW
306,HERMISTON_1,19,106.1,PNW
307,HERMISTON_1,20,106.1,PNW
308,HERMISTON_1,21,106.1,PNW
309,HERMISTON_1,22,106.1,PNW
310,HERMISTON_1,23,106.1,PNW
311,HERMISTON_1,24,106.1,PNW
312,HERMISTON_PWR_STG1,1,264.4,PNW
313,HERMISTON_PWR_STG1,2,264.4,PNW
314,HERMISTON_PWR_STG1,3,264.4,PNW
315,HERMISTON_PWR_STG1,4,264.4,PNW
316,HERMISTON_PWR_STG1,5,264.4,PNW
317,HERMISTON_PWR_STG1,6,264.4,PNW
318,HERMISTON_PWR_STG1,7,264.4,PNW
319,HERMISTON_PWR_STG1,8,264.4,PNW
320,HERMISTON_PWR_STG1,9,264.4,PNW
321,HERMISTON_PWR_STG1,10,264.4,PNW
322,HERMISTON_PWR_STG1,11,264.4,PNW
323,HERMISTON_PWR_STG1,12,264.4,PNW
324,HERMISTON_PWR_STG1,13,264.4,PNW
325,HERMISTON_PWR_STG1,14,264.4,PNW
326,HERMISTON_PWR_STG1,15,264.4,PNW
327,HERMISTON_PWR_STG1,16,264.4,PNW
328,HERMISTON_PWR_STG1,17,264.4,PNW
329,HERMISTON_PWR_STG1,18,264.4,PNW
330,HERMISTON_PWR_STG1,19,264.4,PNW
331,HERMISTON_PWR_STG1,20,264.4,PNW
332,HERMISTON_PWR_STG1,21,264.4,PNW
333,HERMISTON_PWR_STG1,22,264.4,PNW
334,HERMISTON_PWR_STG1,23,264.4,PNW
335,HERMISTON_PWR_STG1,24,264.4,PNW
336,GRAND_COULEE_PS,1,0.0,PNW
337,GRAND_COULEE_PS,2,0.0,PNW
